input_lang,output_lang
Which museum exhibits The Scream by Munch?,În ce muzeu este expus “Strigătul” lui Munch?
For which label did Elvis record his first album?,Ce casă discografică a înregistrat primul album al lui Elvis?
Do Prince Harry and Prince William have the same mother?,Prințul Harry și Prințul William au aceași mamă?
Which budget did the first movie of Zdenek Sverak have?,Ce buget a avut primul film al lui Zdenek Sverak?
In which military conflicts did Lawrence of Arabia participate?,În care conflicte militare a participat Lawrence al Arabiei?
Who invented the zipper?,Cine a inventat fermoarul?
Give me the capitals of all countries in Africa.,Dă-mi capitalele tuturor țărilor din Africa.
Which states border Illinois?,Ce state formează granite cu Illinois?
Which U.S. states are in the same time zone as Utah?,Care state americane sunt pe același fus orar ca Utah?
Give me all islands that belong to Japan.,Dă-mi toate insulele care aparțin Japoniei.
Who designed the Brooklyn Bridge?,Cine a proiectat podul din Brooklyn?
Who was the first president of the United States?,Cine a fost primul președinte ale Statelor Unite?
What is the highest mountain in Australia?,Care este cel mai înalt munte din Australia?
"Which airports are located in California, USA?","Ce aeroporturi se află în California, Statele Unite?"
Who developed Minecraft?,Cine a dezvoltat Minecraft?
Which Chess players died in the same place they were born in?,Care jucători de șah au murit în același loc în care s-au născut?
How many space missions have there been?,Câte misiuni spațiale au avut loc?
Which capitals in Europe were host cities of the summer olympic games?,Ce capitale europene au fost gazde ale Jocurile Olimpice de vară?
Give me all cars that are produced in Germany.,Dă-mi toate mașinile care sunt produse în Germania.
Who was the wife of U.S. president Lincoln?,Cine a fost soția președintelui American Lincoln?
How many children did Benjamin Franklin have?,Câți copii a avut Benjamin Franklin?
Is Michelle Obama the wife of Barack Obama?,Este Michelle Obama soția lui Barack Obama?
Give me all actors starring in movies directed by William Shatner.,Dă-mi toți actorii care joacă roluri principale în filme regizate de William Shatner.
List the children of Margaret Thatcher.,Enumeră copiii lui Margaret Thatcher.
Which professional surfers were born in Australia?,Ce surferi profesioniști s-au născut în Australia?
Who is the editor of Forbes?,Cine este editorul Forbes?
Give me all actors starring in Last Action Hero.,Dă-mi toți actorii cu roluri principale în Last Action Hero.
In which programming language is GIMP written?,În ce limbaj de programare este scris GIMP?
In which country is the Limerick Lake?,În ce țară este lacul Limerick?
Who is the youngest player in the Premier League?,Cine este cel mai tânăr jucător din Premier League?
Give me all video games published by Mean Hamster Software.,Dă-mi toate jocurile video publicate de Mean Hamster Software
Who produced films starring Natalie Portman?,Cine a produs filme cu Natalie Portman în rol principal?
In which films did Julia Roberts as well as Richard Gere play?,În ce filme joacă Julia Roberts precum și Richard Gere?
Was Natalie Portman born in the United States?,A fost Natalie Portman născută în Statele Unite?
How many films did Leonardo DiCaprio star in?,În câte filme a jucat Leonardo DiCaprio rol principal?
What is the second highest mountain on Earth?,Care este al doilea cel mai înalt munte de pe Pământ?
Give me all books by William Goldman with more than 300 pages.,Dă-mi toate carțile de William Glodman cu mai mult de 300 de pagini.
Give me all Danish films.,Dă-mi toate filmele daneze.
What is the largest city in Australia?,Care este cel mai mare oraș din Australia?
Who painted The Storm on the Sea of Galilee?,Cine a pictat Furtuna pe Marea Galileii?
Give me all launch pads operated by NASA.,Dă-mi toate rampele de lansare operate de către NASA.
Who wrote the lyrics for the Polish national anthem?,Cine a scris versurile pentru imnul național al Poloniei?
Give me the birthdays of all actors of the television show Charmed.,Dă-mi zilele de naștere a tuturor actorilor din serialul de televiziune Charmed
In which city did John F. Kennedy die?,În ce oraș a murit John F. Kennedy?
Who produced the most films?,Cine a produs cele mai multe filme?
Who created the comic Captain America?,Cine a creat banda desenată Captain America?
Who was the father of Queen Elizabeth II?,Cine a fost tatăl reginei Elisabeta a II-a?
Which U.S. state has the abbreviation MN?,Care stat American este abreviat MN?
Which movies did Kurosawa direct after Rashomon?,Ce filme a regizat Kurosawa după Rashomon?
Is there a video game called Battle Chess?,Există un joc video numit Battle Chess?
Which mountains are higher than the Nanga Parbat?,Ce munți sunt mai mari decât Nanga Parbat?
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,Când va fi filmul Worst Case Scenario în cinematografele din Olanda?
List all episodes of the first season of the HBO television series The Sopranos.,Listează toate episodele din primul sezon al serialului HBO de televiziune The Sopranos
Is Jens Friebe a vegan?,Este Jens Friebe un vegan?
Which telecommunications organizations are located in Belgium?,Ce agenții de telecomunicații sunt localizate în Belgia?
Give me a list of all American inventions.,Dă-mi o listă a tuturor invențiilor americane.
Which films starring Clint Eastwood did he direct himself?,Ce film în care Clint Eastwood joacă rolul principal a fost regizat de el însuși?
Is the wife of president Obama called Michelle?,Este soția președintelui Obama numită Michelle?
What is the highest mountain?,Care este cel mai înalt munte?
Who are the parents of the wife of Juan Carlos I?,Cine sunt părinții soției lui Juan Carlos I?
Give me all Canadian Grunge record labels.,Dă-mi toate casele canadiene Grunge de înregistrări.
What is the birth name of Angela Merkel?,Care este numele de domnișoară al Angelei Merkel?
In which UK city are the headquarters of the MI6?,În care oraș din Regatul Unit se află cartierul general al MI6?
What is the longest river?,Care este cel mai lung fluviu?
Did Socrates influence Aristotle?,L-a influențat Socrate pe Aristotel?
In which films directed by Garry Marshall was Julia Roberts starring?,În ce filme regizate de Garry Marsall a jucat Julia Roberts roluri principale?
Who was called Scarface?,Cine era numit Scarface?
Is Christian Bale starring in Velvet Goldmine?,Joacă Christian Bale un rol principal în Velvet Goldmine?
Who developed the video game World of Warcraft?,Cine a dezvoltat jocul video World of Warcraft?
What is the time zone of Salt Lake City?,Care este fusul orar din Salt Lake City?
Through which countries does the Yenisei river flow?,Ce țări traversează fluviul Enisei?
List all games by GMT.,Enumeră toate jocurile de GMT
Which organizations were founded in 1930?,Ce organizații au fost fondate în 1930?
To which countries does the Himalayan mountain system extend?,Peste ce țări se întinde lanțul munților Himalaya?
How many employees does IBM have?,Câți angajați are IBM?
When was Alberta admitted as province?,Când a fost Alberta recunoscută ca provincie?
Which countries are connected by the Rhine?,Ce țări sunt unite de Rin?
Give me all cosmonauts.,Dă-mi toți cosmonauții.
Who is the mayor of Tel Aviv?,Cien este primarul din Tel Aviv?
Which ships were called after Benjamin Franklin?,Ce nave au fost numite după Benjamin Franklin?
Who is the husband of Amanda Palmer?,Cine este soțul Amandei Palmer?
How many employees does Google have?,Câți angajați are Google?
Which mountain is the highest after the Annapurna?,Care este cel mai înalt munte după Annapurna?
Does Breaking Bad have more episodes than Game of Thrones?,Are Breaking Bad mai multe episoade decât Game of Thrones?
Give me a list of all bandleaders that play trumpet.,Dă-mi o listă a tuturor conducătorilor de formații care cântă la trompetă.
When was the Battle of Gettysburg?,Când a fost bătălia de la Gettysburg?
When did Michael Jackson die?,Când a murit Michael Jackson?
How many languages are spoken in Turkmenistan?,Câte limbi sunt vorbite în Turkmenistan?
Is Frank Herbert still alive?,Este Frank Herbert încă în viață?
How many big fires struck Paris during the Middle Ages?,Câte incendii majore a suferit Parisul în Evul Mediu?
How many inhabitants does Maribor have?,Câți locuitori are Maribor?
Give me a list of all lakes in Denmark.,Dă-mi o listă a tuturor lacurilor din Danemarca.
Is proinsulin a protein?,Este proinsulina o proteină?
Which awards did WikiLeaks win?,Ce premii a câștigat WikiLeaks?
Which Greek goddesses dwelt on Mount Olympus?,Care zeiță greacă a locuit pe Muntele Olimp?
How high is the Mount Everest?,Ce altitudine are muntele Everest?
Which country has the most official languages?,Ce țară are cele mai multe limbi oficiale?
Give me all communist countries.,Dă-mi toate țările comuniste.
Which instruments does Cat Stevens play?,La ce instrumente cântă Cat Stevens?
Sean Parnell is the governor of which U.S. state?,Sean Parnell este guvernatorul cărui stat american?
Give me all books written by Danielle Steel.,Dă-mi toate cărțile scrise de Danielle Steel.
What is the most beautiful painting?,Care este cel mai prumos tablou?
Did Tesla win a nobel prize in physics?,A câștigat Tesla un premiu Nobel pentru fizică?
Who is the owner of Universal Studios?,Cine este proprietarul Universal Studios?
Who is the governor of Wyoming?,Cine este guvernatorul din Wyoming?
When were the Hells Angels founded?,Când a fost înființată Hell Angels?
Who is the daughter of Ingrid Bergman married to?,Cu cine este căsătorită fiica lui Ingrid Bergman?
Give me all libraries established earlier than 1400.,Dă-mi tote bibliotecile înființate înainte de 1400
Is Egypts largest city also its capital?,Orașul cel mai mare din EGipt este și capital sa?
How many countries are there in Europe?,Câte țări sunt în Europa?
Who is the mayor of Berlin?,Cine este primarul din Berlin?
How many people live in the capital of Australia?,Câți oameni locuiesc in capitala Australiei?
Who founded Intel?,Cine a fondat Intel?
Give me all B-sides of the Ramones.,Dă-mi toate laturile B ale Ramones
Give me all films produced by Hal Roach.,Dă-mi toate filmele produse de Hal Roach
Which bridges are of the same type as the Manhattan Bridge?,Ce poduri sunt de același tip ca cel din Manhattan?
Give me all Apollo 14 astronauts.,Dă-mi toți astronauții Apollo 14.
What is the area code of Berlin?,Care este prefixul telephonic pentru Berlin?
Which software has been developed by organizations founded in California?,Ce software a fost dezvoltat de organizații fondate în California
What is the currency of the Czech Republic?,Care este moneda națională a Cehiei?
Which music albums contain the song Last Christmas?,Ce albume muzicale conțin melodia Last Christmas?
Give me all world heritage sites designated within the past two years.,Dă-mi toate siturile de patrimoniu mondial desemnate in ultimii doi ani.
Which cities does the Weser flow through?,Ce orașe străbate Weserul?
Give me all companies in the advertising industry.,Dă-mi toate companiile din industria publicitară.
Give me all people with first name Jimmy.,Dă-mi toate persoanele cu prenumele Jimmy
Give me all movies directed by Francis Ford Coppola.,Dă-mi toate filmele regizate de Francis Ford Coppola.
What is the ruling party in Lisbon?,Care este partidul la putere în Lisabona?
Who produces Orangina?,Cine produce Orangina?
Give me all companies in Munich.,Dă-mi toate companiile din München
What is the melting point of copper?,Care este punctul de topire al cuprului?
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,A avut loc mai devreme Criza rachetelor din Cuba decât Invazia din Golful Porcilor?
Who was John F. Kennedy's vice president?,Cine a fost vicepreședintele lui John F. Kennedy?
When was Capcom founded?,Când a fost fondat Capcom?
Who is the Formula 1 race driver with the most races?,Cine este pilotul de curse Formula 1 cu cele mai multe curse?
Which U.S. state has been admitted latest?,Care stat american a fost recunoscut ultimul?
Give me all Methodist politicians.,Dă-mi toți politicienii metodiști
What is the highest place of the Urals?,Care este cel mai înalt punct de pe munții Urali?
Give me all soccer clubs in the Premier League.,Dă-mi toate cluburile de fotbal din Premier League
Which monarchs were married to a German?,Ce monarhi au fost căsătoriți cu o persoană germană?
Show me all songs from Bruce Springsteen released between 1980 and 1990.,Arată-mi toate melodiile de Bruce Springsten apărute între 1980 și 1990
Give me all professional skateboarders from Sweden.,Dă-mi toți skateboarderii profesioniști din Suedia.
Give me all members of Prodigy.,Dă-mi toții membrii Prodigy.
How many students does the Free University in Amsterdam have?,Câți studenți are Universitatea Liberă din Amsterdam?
Give me all Australian nonprofit organizations.,Dă-mi toate organizațiile non-profit din Australia.
What did Bruce Carver die from?,Din ce cauză a murit Bruce Carver?
In which country does the Ganges start?,Din ce țară izvorăște Ganga?
Do Prince Harry and Prince William have the same parents?,Prințul Harry și Prințul William au aceiași părinți?
Which Greek goddesses dwelt on Mount Olympus?, Care zeiță greacă a locuit pe Muntele Olimp?
How many missions does the Soyuz programme have?,Câte misiuni are programul Soyuz?
Give me all Danish movies.,Dă-mi toate filmele daneze.
Is Rita Wilson the wife of Tom Hanks?,Este Rita Wilson soția lui Tom Hanks?
Who was called Frank The Tank?,Cine era numit Frank The Tank?
Which movies did Kurosawa direct?,Ce filme a regizat Kurosawa?
Which country does the creator of Miffy come from?, Din ce țara provine creatorul Miffy?
Which television shows were created by John Cleese?,Ce seriale de televiziune au fost create de John Cleese?
Which awards did Douglas Hofstadter win?,Ce premii a câștigat Douglas Hofstadter?
Who is the daughter of Robert Kennedy married to?,Cu cine este căsătorită fiica lui Robert Kennedy?
Who is the owner of Rolls-Royce?,Cine este proprietarul Rolls-Royce?
Was the wife of president Lincoln called Mary?,Este soția președintelui Lincoln numită Mary?
Who was the 16th president of the United States?,Cine a fost primul președinte al Statelor Unite?
Is Pamela Anderson a vegan?,Este Pamela Anderson un vegan?
Give me all animal species that live in the Amazon rainforest.,Dă-mi toate speciile de animale care trăiesc în pădurea Amazoniană.	
How many inhabitants does the largest city in Canada have?,Câți locuitori are cel mai are oraș din Canada?
In which studio did the Beatles record their first album?,În ce studio au înregistrat Beatles primul lor albunm?
Who was the first to climb Mount Everest?,Cine a fost primul om care a escaladat muntele Everest?
How many programming languages are there?,Câte limbaje de programare există?
What is the official color of the University of Oxford?,Care este culoarea oficială a Universității Oxford?
How many gold medals did Michael Phelps win at the 2008 Olympics?,Câte medalii de aur a câștigat Michael Phelps la olimpiada din 2008?
To which artistic movement did the painter of The Three Dancers belong?,Cărui curent artistic îi aparține pictorul lucrării Trei dansatoare?
Give me all animals that are extinct.,Dă-mi toate animalele dispărute.
Does Abraham Lincoln's death place have a website?,Locul morții lui Abraham Lincoln are un website?
How deep is Lake Placid?,Cât de adânc este lacul Placid?
Give me the grandchildren of Bruce Lee.,Dă-mi nepoții lui Bruce Lee.
Who is the youngest Darts player?,Cine este cel mai tânăr jucător de Darts?
Where was Bach born?,Unde s-a născut Bach?
In which countries can you pay using the West African CFA franc?,În ce țări poți plăti folosind francul CFA vest-african?
What are the top-10 action role-playing video games according to IGN?,"Care jocuri video se află în top-10 pentru acțiune și simulare, potrivit IGN?"
What is the most frequent cause of death?,Care este cea mai frecventă cauză a deceselor?
Does the Isar flow into a lake?,Isarul se varsă într-un lac?
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,"Dă-mi toate filmele produse de Steven Spielberg, cu un buget final de producție de cel puțin 80 milioane de dolari."
Give me all writers that won the Nobel Prize in literature.,Dă-mi toți scriitorii care au câștigat premiul Nobel pentru literatură.
Give me all taikonauts.,Dă-mi toți taikonauții.
How many pages does War and Peace have?,Câte pagini are Război și Pace?
What is the bridge with the longest span?,Care este podul cu cea mai mare deschidere?
Give me all actors called Baldwin.,Dă-mi toți actorii numiți Baldwin.
Who is the tallest player of the Atlanta Falcons?,Cine este cel mai înalt jucător din Atlanta Falcons?
Which rivers flow into a German lake?,Ce râuri se varsă într-un lac din Germania?
How many James Bond movies are there?,Câte filme Jamesc Bond există?
Which rockets were launched from Baikonur?,Ce rachete au fost lansate din Baikonur?
Which pope succeeded John Paul II?,Care papă i-a urmat lui Ioan Paul al II-lea?
Give me all Dutch parties.,Dă-mi toate partidele politice olandeze.
When is Halloween?,Când este Halloween?
Give me all Swedish oceanographers.,Dă-mi toți oceanografii suedezi.
Give me all actors who were born in Berlin.,Dă-mi toți actorii care s-au născut la Berlin.
What was the last movie with Alec Guinness?,Care a fost ultimul film cu Alec Guinness?
Which poet wrote the most books?,Ce poet a scris cel mai mare număr de cărți?
How many languages are spoken in Colombia?,Câte limbi sunt vorbite în Columbia?
What does IYCM stand for?,Ce înseamnă IYCM?
What was Brazil's lowest rank in the FIFA World Ranking?,Care a fost cel mai mic loc ocupat de Brazilia în clasamentul mondială FIFA?
Give me the capitals of all countries that the Himalayas run through.,Dă-mi toate țările traversate de Himalaya și capitalele lor.
Which actor played Chewbacca?,Ce actor l-a jucat pe Chewbacca?
Which ingredients do I need for carrot cake?,De ce ingrediente am nevoie pentru tort de morcovi?
Is Cola a beverage?,Cola este o băutură?
Who has Tom Cruise been married to?,Cu cine a fost căsătorit Tom Cruise?
Which of Tim Burton's films had the highest budget?,Care dintre filmele lui Tom Burton a avut cel mai mare buget?
How heavy is Jupiter's lightest moon?,Cât de greu este cel mai ușor satelit al lui Jupiter?
Which actor was casted in the most movies?,Ce actor a fost distribuit în cele mai multe filme?
Is James Bond married?,James Bond este căsătorit?
Give me all Australian metalcore bands.,Dă-mi toate trupele metalcore australiene.
Give me all actors who were born in Paris after 1950.,Dă-mi toți actorii care s-au născut la Paris după 1950.
When was Carlo Giuliani shot?,Când a fost ucis Carlo Giuliani?
Who are the four youngest MVP basketball players?,Care sunt cei patru cei mai tineri jucători de baschet MVP?
Which companies have more than 1 million employees?,Ce companii au mai mult de 1 milion de angajați?
Give all swimmers that were born in Moscow.,Numește toți înotătorii născuți în Moscova.
Who was called Rodzilla?,Cine a fost numit Rodzilla?
Show me the book that Muhammad Ali wrote.,Arată-mi cartea pe care a scris-o Muhammad Ali.
How many museums does Paris have?,Câte muzee are Parisul?
Which city has the most inhabitants?,Care oraș are cei mai mulți locuitori?
Which city has the least inhabitants?,Care oraș are cei mai puțini locuitori?
Give me all the TV shows with Neil Patrick Harris.,Dă-mi toate emisiunile TV cu Neil Patrick Harris
Who wrote The Hunger Games?,Cine a scris Jocurile Foamei?
Show a list of soccer clubs that play in the Bundesliga.,Arată o listă a cluburilor de fotbal care joacă în Bundesliga.
What country is Mount Everest in?,În ce țară se află muntele Everest?
Who is the founder of Penguin Books?,Cine este fondatorul Penguin Books?
Which programming languages influenced Javascript?,Ce limbaje de programare au influențat Javascript?
Did Che Guevara have children?,Che Guevara a avut copii?
List all the musicals with music by Elton John.,Listează toate muzicalurile cu muzică de Elton John.
Show me all the breweries in Australia.,Arată-mi toate berăriile din Australia.
When was the Titanic completed?,Când a fost terminat Titanicul?
How much did Pulp Fiction cost?,Cât a costat Pulp Fiction?
How many airlines are there?,Câte companii aeriene există?
Who played Agent Smith in Matrix?,Cine l-a jucat pe Agent Smith în Matrix?
How much carbs does peanut butter have?,Câți carbohidrați conține untul de arahide?
Which book has the most pages?,Ce carte are cele mai multe pagini?
Which bridges cross the Seine?,Ce poduri traversează Sena?
Who is the mayor of the capital of French Polynesia?,Cine este primarul capitaliei Polineziei Franceze?
When did Dracula's creator die?,Când a murit creatorul Dracula?
What is the location of the Houses of Parliament?,Care este locația Palatului Westminster?
Show me all English Gothic buildings in Kent.,Arată-mi toate clădirile engleze gotice din Kent.
Who was the pope that founded the Vatican Television?,Cine a fost papa care a creat televiziunea din Vatican?
What airlines are part of the SkyTeam alliance?,Ce companii aeriene fac parte din alianța SkyTeam?
"What is the total population of Melbourne, Florida?","Care este populația totală a Melbourne, Florida?"
Which airports does Air China serve?,Ce aeroporturi deservește Air China?
In which year was Rachel Stevens born?,În ce an s-a născut Rachel Stevens?
Where was JFK assassinated?,Unde a fost asasinat JFK?
How many politicians graduated from Columbia University?,Câți politicieni au absolvit la Universitatea Columbia?
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,Care om de știință este cunoscut pentru proiectul Manhattan și pentru premiul Nobel pentru pace?
What is the highest volcano in Africa?,Care este cel mai înalt vulcan din Africa?
Which beer originated in Ireland?,Ce bere este originară din Irlanda?
What are the specialities of the UNC Health Care?,Care sunt specializările UNC Health Care?
Who is the owner of Facebook?,Cine este proprietarul Facebook?
From which region is the Melon de Bourgogne?,Din ce regiune provine Melon-ul de Bourgogne?
Who was influenced by Socrates?,Cine a fost influențat de către Socrate?
Who was president of Pakistan in 1978?,Cine a fost preşedintele Pakistanului în 1978?
Give me English actors starring in Lovesick.,Dă-mi actori englezi protagoniști în Lovesick.
Give me all types of eating disorders.,Dă-mi toate tipurile de tulburări alimentare.
Who was married to president Chirac?,Cine a fost căsătorit cu președintele Chirac?
What is the largest metropolitan area in Washington state?,Care este cea mai mare zonă metropolitană din statul Washington?
Where in France is sparkling wine produced?,Unde în Franța este produs vinul spumant?
Where did Hillel Slovak die?,Unde a murit Hillel Slovak?
What is the timezone in San Pedro de Atacama?,Care este fusul orar din San Pedro de Atacama?
In which city does the Chile Route 68 end?,În ce oraș se termină Route 68 din Chile?
Who is the mayor of Tel Aviv?,Cine este primarul din Tel Aviv?
Butch Otter is the governor of which U.S. state?,Butch Otter este guvernatorul cărui stat american?
How tall is Amazon Eve?,Ce înălțime are Amazon Eve?
Which weapons did Heckler & Koch develop?,Ce alte arme a realizat Heckler & Koch?
Where is Fort Knox located?,În ce stat american este situat Fort Knox?
Which museum exhibits The Scream by Munch?,În ce muzeu este expus Strigătul lui Munch?
Who created Batman?,Cine a creat Batman?
Which politicians were married to a German?,Ce politicieni au fost căsătoriți cu o persoană germană?
When was Jack Wolfskin founded?,Când a fost fondat Jack Wolfskin?
How deep is Lake Chiemsee?,Cât de adânc este lacul Chiemsee?
Give me the grandchildren of Elvis Presley.,Dă-mi nepoții lui Elvis Presley.
What does ICRO stand for?,Ce înseamnă ICRO?
When was Olof Palme shot?,Când a fost ucis Olof Palme?
List all the musicals with music by Leonard Bernstein.,Listează toate muzicalurile cu muzică de Leonard Bernstein.
Which airports does Yeti Airlines serve?,Ce aeroporturi deservește Yeti Airlines?
Give me all ESA astronauts.,Dă-mi toți astronauții ESA.
Give me all Swedish holidays.,Dă toate zilele de sărbătoare din Suedia.
Who is the youngest Pulitzer Prize winner?,Cine este cel mai tânăr câștigător al premiului Pulitzer?
Which animals are critically endangered?,Ce animale sunt pe cale de dispariție?
Which soccer players were born on Malta?,Ce jucători de fotbal s-au născut în Malta?
Did Arnold Schwarzenegger attend a university?,Arnold Schwarzenegger a frecventat o universitate?
Which programming languages were influenced by Perl?,Ce limbaje de programare au fost influențate de Perl?
Is Barack Obama a democrat?,Barack Obama este un democrat?
How many children does Eddie Murphy have?,Câți copii are Eddie Murphy?
Who is the oldest child of Meryl Streep?,Cine este copilul cel mai mare al lui Meryl Streep?
Who killed John Lennon?,Cine l-a ucis pe John Lennon?
Which frequent flyer program has the most airlines?,Ce program de fidelizare pentru zboruri frecvente are cele mai multe companii aeriene?
In which city is Air China headquartered?,În ce oraș este sediul Air China?
Which artists were born on the same date as Rachel Stevens?,Ce artiști s-au născut în aceeași zi cu Rachel Stevens?
How many scientists graduated from an Ivy League university?,Câți oameni de știință au absolvit la universitatea Ivy League?
Which types of grapes grow in Oregon?,Ce soiuri de struguri cresc în Oregon?
Who is starring in Spanish movies produced by Benicio del Toro?,Cine sunt protagoniști în filmele spaniole produse de Benicio del Toro?
Who is the manager of Real Madrid?,Cine este manager la Real Madrid?
Give me the currency of China.,Care este moneda din China?
Which movies starring Mickey Rourke were directed by Guy Ritchie?,Ce filme cu Mickey Rourke ca protagonist au fost regizate de Guy Ritchie?
Is Darth Vader Luke’s father?,Este Darth Vader tatăl lui Luke?
How many companies were founded by the founder of Facebook?,Câte companii au fost înființate de fondatorul Facebook?
How many companies were founded in the same year as Google?,Câte companii au fost înființate în același an cu Google?
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,Care filială a TUI Travel deservește atât Glasgow cât și Dublin?
How many airlines are members of the Star Alliance?,Câte companii aeriene sunt membre în Star Alliance?
Give me all spacecrafts that flew to Mars.,Dă-mi toate navele spațiale care au zburat spre Marte.
Which musician wrote the most books?,Care muzician a scris cele mai multe cărți?
Show me everyone who was born on Halloween.,Arată-mi toate persoanele care s-au născut de Halloween.
Give me all Swiss non-profit organizations.,Dă-mi toate organizațiile non-profit elvețiene.
In which country is Mecca located?,În ce țară se află Mecca?
What is the net income of Apple?,Care este venitul net al Apple?
What does the abbreviation FIFA stand for?,Ce semnifică acronimul FIFA?
When did the Ming dynasty dissolve?,Când a dispărut dinastia Ming?
Which museum in New York has the most visitors?,Care muzeu din New York are cei mai mulți vizitatori?
Is Lake Baikal bigger than the Great Bear Lake?,Lacul Baikal este mai mare decât lacul Great Bear?
Desserts from which country contain fish?,Deserturile din ce țară conțin pește?
What is the highest mountain in Italy?,Care este cel mai înalt munte din Italia?
Where did the architect of the Eiffel Tower study?,Unde a studiat arhitectul turnului Eiffel?
Which Greek parties are pro-European?,Care partide grecești sunt pro-europene?
What is the height difference between Mount Everest and K2?,Care este diferența de înălțime dintre Muntele Everest și K2?
Who is the mayor of Rotterdam?,Cine este primar în Rotterdam?
In which city were the parents of Che Guevara born?,În ce oraș s-au născut părinții lui Che Guevara?
How high is the lighthouse in Colombo?,Cât de înalt este farul din Colombo?
