input_lang,output_lang
Who was the wife of U.S. president Lincoln?,¿Quién fué la mujer del presidente americano Lincoln?
"Which airports are located in California, USA?",¿Cuántos aeropuertos hay en California?
Is Christian Bale starring in Batman Begins?,¿Actúa Christian Bale en Batman Begins?
In which programming language is GIMP written?,¿En qué lenguaje de programación esta programado GIMP?
In which country is the Limerick Lake?,¿En qué país se encuentra el lago Limerick?
Which monarchs of the United Kingdom were married to a German?,¿Qué monárcas del reino unido estaban casados con una persona alemana?
Give me all female German chancellors.,Dame todas las cancilleres alemanas.
Give me all video games published by Mean Hamster Software.,Dame todos los videojuegos de Mean Hamster Software.
Who produced films starring Natalie Portman?,¿Quién ha producido películas en las que actua Natalie Portman?
In which films did Julia Roberts as well as Richard Gere play?,¿En qué películas actúan Julia Roberts y Richard Gere?
How many films did Leonardo DiCaprio star in?,¿En cuántas películas ha actuado Leonardo DiCaprio?
Give me all school types.,Dame todos los tipos de escuela.
Give me the birthdays of all actors of the television show Charmed.,Dame los cumpleaños de los actores de la serie de televisión Charmed.
In which city did John F. Kennedy die?,¿En qué ciudad murió John F. Kennedy?
How many monarchical countries are there in Europe?,¿Cuántas monarquías existen en Europa?
Give me all presidents of the United States.,Dame todos los presidentes de los estados unidos de américa.
Who produced the most films?,¿Quién ha producido más películas?
Which languages are spoken in Estonia?,¿Qué idiomas se hablan en Estonia?
Is there a video game called Battle Chess?,¿Hay algún videojuego que se llame Battle Chess?
Which mountains are higher than the Nanga Parbat?,¿Qué montañas son más altas que el Nanga Parbat?
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,¿Cuándo se estrena la película Worst Case Scenario en los países bajos?
Is Jens Friebe a vegan?,¿Es Jens Friebe vegano?
Which telecommunications organizations are located in Belgium?,¿Qué empresas de telecomunicaciones tienen su sede en Bélgica?
Which companies work in the aerospace industry as well as on nuclear reactor technology?,¿Qué empresas aerospaciales trabajar también en en tecnología de reactores?
Which state of the USA has the highest population density?,¿Que estado de los estados unidos de america tiene la mayor densidad de población?
Is the wife of president Obama called Michelle?,¿La mujer del presidente Obama se llama Michelle?
What is the highest mountain?,¿Cuál es la montaña más alta?
Give me all Canadian Grunge record labels.,Dame todos las empresas canadienses productoras de música Grunge.
What is the currency of the Czech Republic?,¿Cuál es la moneda de la república checa?
Give me all books written by Danielle Steel.,Dame todos los libros escritos por Danielle Steel.
In which films directed by Garry Marshall was Julia Roberts starring?,¿En qué películas dirigidas por Garry Mashall actuó Julia Roberts?
Who developed the video game World of Warcraft?,¿Quién desarrolló el videojuego Warcraft?
Who owns Aldi?,¿A quién pertenece Aldi?
How many employees does IBM have?,¿Cuántos empleados tiene IBM?
What is the area code of Berlin?,¿Cuál es el prefijo de Berlin?
When was the Battle of Gettysburg?,¿Cuándo tuvo lugar la batalla de Gettysburg?
What are the official languages of the Philippines?,¿Cuáles son los idiomas oficiales de Las Philipinas?
Is Frank Herbert still alive?,¿Todavía vive Frank Herbert?
How many big fires struck Paris during the Middle Ages?,¿Cuántos grandes incendios se produjeron en el Paris medieval?
Who wrote the book Les Piliers de la terre?,¿Quen escribió el libro Los pilares de la Tierra?
Give me the homepage of Forbes.,Dame la página de web de Forbes.
Is proinsulin a protein?,¿La proinsulina es una proteina?
Which awards did WikiLeaks win?,¿Qué premios ha ganado WikiLeaks?
List all episodes of the first season of the HBO television series The Sopranos!,Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.
Which country has the most official languages?,¿Qué país tiene más idiomas oficiales?
Which U.S. states possess gold minerals?,¿En qué estados de los estados unidos de américa hay oro?
What is the most beautiful painting?,¿Cuál es la pintur más bonita?
Who is the daughter of Ingrid Bergman married to?,¿Con quién está casada la hija de Ingrid Bergman?
Is Egypts largest city also its capital?,¿Es la cuidad más grande de Egipto también capital?
Which caves have more than 3 entrances?,¿Qué cuevas tienen más de 3 entradas?
Give me all films produced by Hal Roach.,Dame todas las películas del producente Hal Roach.
Which bridges are of the same type as the Manhattan Bridge?,¿Qué puentes son del mismo tipo que el puente de Manhattan?
Was U.S. president Jackson involved in a war?,¿Estuvo el el presidente de los estados unidos Jackson involucrado en una guerra?
Which software has been developed by organizations founded in California?,¿Qué productos de software han sido desarrollados por empresas fundadas en California?
Who has been the 5th president of the United States of America?,¿Quién fue el quinto presidente de los estados unidos de américa?
Which music albums contain the song Last Christmas?,¿Qué albums musicales contienen la canción Las Christmas?
Give me all female Russian astronauts.,Dame todas las astronautas rusas.
Give me all actors starring in Last Action Hero.,Dame todos los actores que hayan actuado en Last Action Hero.
Give me all companies in the advertising industry.,Dame todas las empresas publicitarias.
Give me all animal species that live in the Teutoburg Forest.,Dame todas las especies animales qué vivan en el Bosque Teutónico.
Which countries in the European Union adopted the Euro?,¿Qué países de la unión europea han introducido el Euro?
When was Capcom founded?,¿Cúando se fundó Capcom?
Give me all soccer clubs in the Premier League.,Dame todos los clubs de la Premier League.
Who is the owner of Universal Studios?,¿A quién le pertenecen los Universal Studios?
What did Bruce Carver die from?,¿De qué murió Bruce Carver?
How often did Jane Fonda marry?,¿Cuántas veces ha estado casada Jane Fonda?
Which books by Kerouac were published by Viking Press?,¿Qué libros de Kerouac han sido publicados por Viking Press?
Which U.S. state has the highest population density?,¿Que estado de los estados unidos de america tiene la mayor densidad de población?
What is the founding year of the brewery that produces Pilsner Urquell?,¿En qué año fue fundada la cervecería que produce Pilsner Urquell?
Give me all federal chancellors of Germany.,Dame todos los cancilleres alemanos.
In which U.S. state is Mount McKinley located?,¿En qué estado de los estados unidos se encuentra el monte McKinley?
When was the Statue of Liberty built?,¿Cuándo fue construída la estatua de la libertad?
Give me all people that were born in Vienna and died in Berlin.,Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.
How tall is Michael Jordan?,¿Qué altura tiene Michael Jordan?
What is the total amount of men and women serving in the FDNY?,¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?
Give me all breeds of the German Shepherd dog.,Dame todas las razas de pastor alemán.
What is the official language of Suriname?,¿Cuál es la idioma oficial de Surinam?
Who composed the music for Harold and Maude?,¿Quién compuso la música para Harold y Maude?
In which city was the former Dutch queen Juliana buried?,¿En qué ciudad fué enterrada la antigua reina de los países bajos Juliana?
Who wrote the book The Pillars of the Earth?,¿Quen escribió el libro Los pilares de la Tierra?
What are the nicknames of San Francisco?,¿Cuál es el apodo de San Francisco?
Which companies work in the aerospace industry as well as in medicine?,¿Qué empresas aerospaciales trabajar también en en medicina?
Are tree frogs a type of amphibian?,¿Son las ranas verdes un tipo de anfibio?
What were the main discoveries of the Mars rover Curiosity?,¿Cuáles fueron los principales descubrimientos de Mars rover Curiosity?
Where is the residence of the prime minister of Spain?,¿Dónde vive el primer ministor de España?
Which countries have more than ten caves?,¿Qué países tienen más de diez cuevas?
Give me all sister cities of Brno.,Dame las ciudades hermanadas con Brno.
Which other weapons did the designer of the Uzi develop?,¿Qué otras armas desarrolló el inventor del Uzi?
Which countries adopted the Euro?,¿Qué países han introducido el Euro?
Which country does the creator of Miffy come from?,¿De qué país viene el creador de Nijntje?
Give me all female given names.,Dame todos los nombres propios femeninos.
Was Margaret Thatcher a chemist?,¿Fue Margaret Thatcher química?
Which German cities have more than 250000 inhabitants?,¿Qué ciudades alemanas tienen más de 250000 habitantes?
Was Marc Chagall a jew?,¿Fué Marc Chagall judío?
How many Aldi stores are there?,¿Cuántas tiendas Aldi hay?
What is the capital of Canada?,¿Cuál es la capital de Canadá?
What is the average temperature on Hawaii?,¿Cuál es la temperature media en Hawaii?
In which U.S. state is Fort Knox located?,¿En qué estado american se encuentra Fort Knox?
For which label did Elvis record his first album?,¿Qué discográfica grabó el primer album de Elvis?
Do Prince Harry and Prince William have the same mother?,¿Tienen el príncipe Harry y el prínciple William la misma madre?
In which military conflicts did Lawrence of Arabia participate?,¿En qué conflictos militares participó Lawrence de Arabia?
Who invented the zipper?,¿Quién inventó la cremallera?
Which U.S. states are in the same time zone as Utah?,¿Qué estados americanos se encuentran en la misma zona que Utah?
Give me all islands that belong to Japan.,Dame todas la islas que pertenezcan a Japón.
Who was the first president of the United States?,¿Quién era el primer presidente de los Estados Unidos?
Who developed Minecraft?,¿Quién desarrolló Minecraft?
Which Chess players died in the same place they were born in?,¿Qué jugadores de ajedrez murieron en sus lugares de nacimiento?
How many space missions have there been?,¿Cuántas misiones espaciales ha habido?
Give me all cars that are produced in Germany.,Dame todos los coches producidos en Alemania.
How many children did Benjamin Franklin have?,¿Cuántos hijos tuvo Benjamin Franklin?
Is Michelle Obama the wife of Barack Obama?,¿Es Michele Obama la esposa de Barack Obama?
Give me all actors starring in movies directed by William Shatner.,Dame todos los actores de películas dirigidas por William Shatner.
List the children of Margaret Thatcher.,Dame una lista de los hijos de Margaret Thatcher.
Which professional surfers were born in Australia?,¿Qué surfistas profesionales nacieron en Australia?
Who is the editor of Forbes?,¿Quién es el editor de Forbes?
Who is the youngest player in the Premier League?,¿Quién es el jugador más jóven de la Premier League?
What is the second highest mountain on Earth?,¿Cuál es la segunda montaña más alta de la tierra?
Give me all books by William Goldman with more than 300 pages.,Dame todos los libros de Wiliam Goldman con más de 300 páginas.
Give me all Danish films.,Dame todas las películas danesas.
What is the largest city in Australia?,¿Cuál es la cuidad más grande de Australia?
Who painted The Storm on the Sea of Galilee?,¿Quién pintó el Cristo en la tormenta en el lago de Galilea?
Give me all launch pads operated by NASA.,Dame todas las plataformas de lanzamiento operadas por la NASA.
Who wrote the lyrics for the Polish national anthem?,¿Quién escribió el texto del himno de Polonia?
Who created the comic Captain America?,¿Quién creó el comic Capitán América?
Who was the father of Queen Elizabeth II?,¿Quién fue el padre de la reina Isabel II?
Which U.S. state has the abbreviation MN?,¿Qué estado americano tiene la abreviación MN?
Which movies did Kurosawa direct after Rashomon?,¿Qué películas ha rodado Kurosawa después de Rashomon?
List all episodes of the first season of the HBO television series The Sopranos.,Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.
Give me a list of all American inventions.,Dame una lista de todos los inventos americanos.
Which films starring Clint Eastwood did he direct himself?,¿En qué películas con Clint Eastwood están dirigidas por él mismo?
Who are the parents of the wife of Juan Carlos I?,¿Quién son los padres de la esposa de Juan Carlos I?
What is the birth name of Angela Merkel?,¿Cuál es el nombre de soltera de Angela Merkel?
In which UK city are the headquarters of the MI6?,¿En qué ciudad del reino unido se encuentra el cuartel genetal del MI6?
What is the longest river?,¿Cuál es el río más largo?
Did Socrates influence Aristotle?,¿Tuvo Sócrates influencia sobre Aristóteles?
Who was called Scarface?,¿Quién era llamado Scarface?
Is Christian Bale starring in Velvet Goldmine?,¿Actúa Christian Bale en Velvet Goldmine?
What is the time zone of Salt Lake City?,¿En qué zona horaria se encuentra Salt Lake City?
List all games by GMT.,Dame todos los juegos de GMT.
Which organizations were founded in 1930?,¿Qué empresas fueron fundadas en 1930?
To which countries does the Himalayan mountain system extend?,¿Por qué países se extiende el Himalaya?
When was Alberta admitted as province?,¿Cúando fué fundada la provincia de Alberta?
Which countries are connected by the Rhine?,¿Qué países une el Rhin?
Give me all cosmonauts.,Dame todas las cosmonautas.
Who is the mayor of Tel Aviv?,¿Quién es el alcalde de Tel Aviv?
Which ships were called after Benjamin Franklin?,¿Qué barcos fueron bautizados en honor a Benjamin Franklin?
Who is the husband of Amanda Palmer?,¿Quién es el marido de Amanda Palmer?
How many employees does Google have?,¿Cuántos empleados tiene Google?
Does Breaking Bad have more episodes than Game of Thrones?,¿Tiene Breaking Bad más episodios que Game of Thrones?
Give me a list of all bandleaders that play trumpet.,Dame una lista de todos los líderes de un grupo que tocan la trompeta.
When did Michael Jackson die?,¿Cuándo murió Michael Jackson?
How many languages are spoken in Turkmenistan?,¿Cuántos idiomas se hablan en Turkmenistán?
How many inhabitants does Maribor have?,¿Cuántos habitantes tiene Maribor?
Give me a list of all lakes in Denmark.,Dame una lista de todos los lagos en Dinamarca.
Which Greek goddesses dwelt on Mount Olympus?,¿Qué diosas griegas habitan el Olimpo?
How high is the Mount Everest?,¿Qué alto es el Monte Everest?
Give me all communist countries.,Dame todos los países comunistas.
Which instruments does Cat Stevens play?,¿Qué instrumentos tocaba Cat Stevens?
Sean Parnell is the governor of which U.S. state?,¿De qué estado americano es Sean Parnell el gobernador?
Did Tesla win a nobel prize in physics?,¿Obtuvo Tesla el premio nobel de física?
Who is the governor of Wyoming?,¿Quién es el gobernador de Wyoming?
When were the Hells Angels founded?,¿Cúando se fundaron los Hells Angels?
Give me all libraries established earlier than 1400.,Dame todas las bibliotecas que fueron establecidas antes de 1400.
How many countries are there in Europe?,¿Cuántos países existen en Europa?
Who is the mayor of Berlin?,¿Quién es el alcalde de Berlin?
How many people live in the capital of Australia?,¿Cuánta gente vive en la capital de Australia?
Who founded Intel?,¿Quién fundó Intel?
Give me all B-sides of the Ramones.,Dame todas las caras B de los Ramones.
Give me all Apollo 14 astronauts.,Dame todos los astronautas de Apolo 14?
Give me all world heritage sites designated within the past two years.,¿Qué patrimonios de la humanidad fueron reconocidos en los últimos dos años?
Which cities does the Weser flow through?,¿Por qué ciudades pasa el río Weser?
Give me all movies directed by Francis Ford Coppola.,Dame todas las películas que haya dirigido Francis Ford Coppola.
What is the ruling party in Lisbon?,¿Qué partido gobierna en Lisboa?
Who produces Orangina?,¿Quién produce Orangina?
Give me all companies in Munich.,Dame todas las empresas de Munich?
What is the melting point of copper?,¿Cúal es el punto de fusión del cobre?
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,¿Fué la crisis de cuba antes de la invasión de bahía de cochinos?
Who was John F. Kennedy's vice president?,¿Quién fué el vicepresidente de John F. Kennedy?
Who is the Formula 1 race driver with the most races?,¿Quién es el conductor de Formula 1 con más carreras?
Which U.S. state has been admitted latest?,¿Qué estado americano fué el último en ser admitido?
Give me all Methodist politicians.,Dame todos los políticos que sean metodístas.
What is the highest place of the Urals?,¿Cuál es el punto más alto del montes Urales?
Which monarchs were married to a German?,¿Qué monárcas estaban casados con una persona alemana?
Show me all songs from Bruce Springsteen released between 1980 and 1990.,¿Enseñame todas las canciones de Bruce Springsteen que aparecieron entre 1980 y 1990.
Give me all professional skateboarders from Sweden.,Dame todos las skateboarders profesionales de Suecia.
Give me all members of Prodigy.,Dame todos los miembros de la banda Prodigy.
How many students does the Free University in Amsterdam have?,¿Cuántos estudiantes tiene la Universidad Libre de Amsterdam?
Give me all Australian nonprofit organizations.,Dame todas las organizaciones benéficas de Australia.
In which country does the Ganges start?,¿En qué país nace el Ganges?
Do Prince Harry and Prince William have the same parents?,¿Tienen el príncipe Harry y el prínciple William la misma madre?
How many missions does the Soyuz programme have?,¿Cuántas misiones tiene el programa Soyuz?
Give me all Danish movies.,Dame todas las películas danesas.
Is Rita Wilson the wife of Tom Hanks?,¿Es Rita Wilson la esposa de Tom Hanks?
Who was called Frank The Tank?,¿Quién era llamado Frank The Tank?
Which movies did Kurosawa direct?,¿Qué películas ha rodado Kurosawa?
Which television shows were created by John Cleese?,¿Qué series televisivas ideó John Cleese?
Which awards did Douglas Hofstadter win?,¿Qué premios ha ganado Douglas Hofstadter?
Who is the daughter of Robert Kennedy married to?,¿Con quién está casada la hija de Robert Kennedy?
Who is the owner of Rolls-Royce?,¿Quién es el dueño de Rolls-Royce?
Was the wife of president Lincoln called Mary?,¿La mujer del presidente Lincoln se llama Mary?
Who was the 16th president of the United States?,¿Quién fue el 16th presidente de los Estados Unidos?
Is Pamela Anderson a vegan?,¿Es Pamela Anderson vegana?
Give me all animal species that live in the Amazon rainforest.,Dame todas las especies animales qué viven en Amazonía.
How many inhabitants does the largest city in Canada have?,¿Cuántos habitantes tiene la ciudad más grande de Canadá?
In which studio did the Beatles record their first album?,¿En qué estudio grabaron los Beatles su primer album?
Who was the first to climb Mount Everest?,¿Quién fue el primero en ascender al Monte Everest?
How many programming languages are there?,¿Cuántos lenguajes de programación existen?
What is the official color of the University of Oxford?,¿Cuál es el color oficial de la Universidad de Oxford?
How many gold medals did Michael Phelps win at the 2008 Olympics?,¿Cuántas medallas de oro ganó Michael Phelps durante los juegos olímpicos de 2008?
To which artistic movement did the painter of The Three Dancers belong?,¿A qué estilo artístico pertenece el pinto de Los Tres Bailarines?
Give me all animals that are extinct.,Dame todos los animales extintos
Does Abraham Lincoln's death place have a website?,¿Tiene el lugar de nacimiento de Abraham Lincol una página web?
How deep is Lake Placid?,Cómo de hondo es el Lago Placid?
Give me the grandchildren of Bruce Lee.,Dame todos los nietos de Bruce Lee.
Who is the youngest Darts player?,¿Quién es el jugador mas jóven de dardos?
Where was Bach born?,¿Dónde nació Bach?
In which countries can you pay using the West African CFA franc?,¿En qué páises se paga con el Franco CFA?
What are the top-10 action role-playing video games according to IGN?,¿Cuáles son los 10 mejores videojuegos de rol de acción según la IGN?
What is the most frequent cause of death?,¿Cual es la causa mortal más común?
Does the Isar flow into a lake?,¿Desemboca el Isar en un lago?
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,Dame todas las películas producidas por Steven Spielberg con un presupuesto de al menos 80 milliones de dólares.
Give me all writers that won the Nobel Prize in literature.,Dame todos los escritores que hayan recibido el premio nobel de literatura.
Give me all taikonauts.,Dame todas las taikonautas.
How many pages does War and Peace have?,¿Cuántas páginas tiene Guerra y Paz?
What is the bridge with the longest span?,¿Qué puente tiene el mayor largo del vano?
Give me all actors called Baldwin.,Dame todos los actores llamados Baldwin.
Who is the tallest player of the Atlanta Falcons?,¿Quién es el jugador más alto de los Atlanta Falcons?
Which rivers flow into a German lake?,¿Qué ríos desembocan en un lago alemán?
How many James Bond movies are there?,¿Cuántas películas de James Bond existen?
Which rockets were launched from Baikonur?,¿Qué cohetes han sido lanzados desde Baionur?
Which pope succeeded John Paul II?,¿Qué papa fue el sucesor de Juan Pablo II?
Give me all Dutch parties.,Dame todos los partidos políticos holandeses
When is Halloween?,¿Cuándo es Halloween?
Give me all Swedish oceanographers.,Dame todos los oceanógrafos suecos.
Give me all actors who were born in Berlin.,Dame todos los actores nacidos en Berlin.
What was the last movie with Alec Guinness?,¿Cuál fue la última película con Alec Guinness?
Which poet wrote the most books?,¿Que poeta ha escrito el mayor número de libros?
How many languages are spoken in Colombia?,¿Cuántos idiomas se hablan en Colombia?
What does IYCM stand for?,¿Qué abrevia IYCM?
What was Brazil's lowest rank in the FIFA World Ranking?,¿Cuál ha sido la posición de ranking más baja de Brasil en el ranking mundial de la FIFA?
Give me the capitals of all countries that the Himalayas run through.,Dame las capitales de todos los países que atraviesa el Himalaya.
Which actor played Chewbacca?,¿Qué actor hizo el papel de Chewbacca?
Which ingredients do I need for carrot cake?,¿Qué ingredientes son necesarios para una tarta de zanahorias?
Is Cola a beverage?,¿La Coca Cola es una bebida?
Who has Tom Cruise been married to?,¿Quién ha estado casado con Tom Cruise?
Which of Tim Burton's films had the highest budget?,¿Cuál es la película de Tim Burton con el mayor presupuesto?
How heavy is Jupiter's lightest moon?,¿Cuánto pesa el satélite más ligero de Júpiter?
Which actor was casted in the most movies?,¿Qué actor ha actuado en el mayor número de películas?
Is James Bond married?,¿Está James Bond casado?
Give me all Australian metalcore bands.,Dame todos los grupos australianos de metalcore.
Give me all actors who were born in Paris after 1950.,Dame todos los actores nacidos en Paris después de 1950.
When was Carlo Giuliani shot?,¿Cuándo fue disparado Carlo Giuliani?
Who are the four youngest MVP basketball players?,¿Cuáles son los cuatro jugadores de baloncesto de categoría MVP más jóvenes?
Which companies have more than 1 million employees?,¿Qué empresas tienen mas de 1 millón de empleados?
Give all swimmers that were born in Moscow.,Dame todos los nadadores nacidos en Moscú
Who was called Rodzilla?,¿Quien se llamaba Rodzilla?
Show me the book that Muhammad Ali wrote.,Muéstrame el libro escrito por Muhammad Ali.
How many museums does Paris have?,¿Cuantos museos hay en Paris?
Which city has the most inhabitants?,¿Que ciudad tiene la mayor población?
Which city has the least inhabitants?,¿Que ciudad tiene la menor población?
Give me all the TV shows with Neil Patrick Harris.,Dame todos los programas de televisión con Neil Patrick Harris.
Who wrote The Hunger Games?,¿Quien escribió Los juegos del hambre?
Show a list of soccer clubs that play in the Bundesliga.,Dame una lista de los clubs de futbol que juegan en Bundesliga.
What country is Mount Everest in?,¿En que país esta el monte Everest?
Who is the founder of Penguin Books?,¿Quien es el fundador de Penguin Books?
Which programming languages influenced Javascript?,¿Que lenguajes de programación influenciaron el Javascript?
Did Che Guevara have children?,¿Tuvo hijos el Che Guevara?
List all the musicals with music by Elton John.,Dame todos los musicales con música de Elton John.
Show me all the breweries in Australia.,Muéstrame todas las cervecerías en Australia.
When was the Titanic completed?,¿Cuando se completo el Titanic?
How much did Pulp Fiction cost?,¿Cuanto costo Pulp Fiction?
How many airlines are there?,¿Cuantas líneas aéreas existen?
Who played Agent Smith in Matrix?,¿Quien actuó como el agente Smith en Matrix?
How much carbs does peanut butter have?,¿Cuantos hidrates de carbono tienen la manteca de cacahuete?
Which book has the most pages?,¿Que libro tiene el mayor numero de paginas?
Which bridges cross the Seine?,¿Cuantos puentes cruzan el Siena?
Who is the mayor of the capital of French Polynesia?,¿Quien es el alcalde de la capital de la Polinesia Francesa?
When did Dracula's creator die?,¿Cuando murió el creador de Drácula?
What is the location of the Houses of Parliament?,¿Donde están situadas las Casas del Parlamento?
Show me all English Gothic buildings in Kent.,Muéstrame todos los edificios góticos en Kent.
Who was the pope that founded the Vatican Television?,¿Quien fue el papa que fundo la televisión Vaticana?
What airlines are part of the SkyTeam alliance?,¿Qué aerolíneas forman parte del la alianza SkyTeam?
"What is the total population of Melbourne, Florida?","¿Cuál es la población total de Melbourne, Florida?"
Which airports does Air China serve?,¿Qué aeropuertos sirve Air China?
In which year was Rachel Stevens born?,¿En que año nació Rachel Stevens?
Where was JFK assassinated?,¿Dónde fue JFK asesinado?
How many politicians graduated from Columbia University?,¿Cuántos políticos se han graduado en la universidad de Columbia?
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,¿Qué científicos son conocidos por el proyecto Manhattan y el premio Nobel de la Paz?
What is the highest volcano in Africa?,¿Cuál es el volcán mas alto en África?
Which beer originated in Ireland?,¿Qué cerveza se ha originado en Irlanda?
What are the specialities of the UNC Health Care?,¿Cuáles son las especialidades del UNC Health Care?
Who is the owner of Facebook?,¿Quién es el dueño de Facebook?
From which region is the Melon de Bourgogne?,¿De que región es el vino Melon de Bourgogne?
Who was influenced by Socrates?,¿Quién fue influenciado por Socrates?
Who was president of Pakistan in 1978?,¿Quién fue el presidente de Pakistán en 1978?
Give me English actors starring in Lovesick.,Dame actores Ingleses protagonizando Lovesick.
Give me all types of eating disorders.,¿Que tipos hay de trastornos de la alimentación?
Who was married to president Chirac?,¿Quién estuvo casado con el presidente Chirac?
What is the largest metropolitan area in Washington state?,¿Cuál es el área metropolitana mas larga en el estado de Washington?
Where in France is sparkling wine produced?,¿Dónde en Francia se produce el vino espumoso?
Where did Hillel Slovak die?,¿Dónde murió Hillel Slovak?
What is the timezone in San Pedro de Atacama?,¿Cuál es la zona horaria en San Pedro de Atacama?
In which city does the Chile Route 68 end?,¿En que ciudad termina la ruta Chilena 68?
Butch Otter is the governor of which U.S. state?,¿De qué estado americano es Butch Otter el gobernador?
How tall is Amazon Eve?,¿Cómo de alta es Amazon Eve?
Which weapons did Heckler & Koch develop?,¿Qué armas crearon Heckler y Koch?
Where is Fort Knox located?,¿Donde se encuentra el Fort Knox?
Who created Batman?,¿Quién creó Batman?
Which politicians were married to a German?,¿Qué monárcas estaban casados con una persona alemana?
When was Jack Wolfskin founded?,¿Cúando se fundó Jack Wolfskin?
How deep is Lake Chiemsee?,Cómo de hondo es el Chiemsee?
Give me the grandchildren of Elvis Presley.,Dame todos los nietos de Elvis Presley.
What does ICRO stand for?,¿Qué abrevia ICRO?
When was Olof Palme shot?,¿Cuándo fue disparado Olof Palme?
List all the musicals with music by Leonard Bernstein.,Dame todos los musicales con música de Leonard Bernstein.
Which airports does Yeti Airlines serve?,¿Qué aeropuertos sirve Yeti Airlines?
Give me all ESA astronauts.,Dame todos los astronautas de la ESA.
Give me all Swedish holidays.,Dame todos los días festivos en Suecia.
Who is the youngest Pulitzer Prize winner?,¿Quien es el premio Pilitzer mas joven?
Which animals are critically endangered?,¿Que animales están en peligro de extinción?
Which soccer players were born on Malta?,¿Que jugadores de futbol han nacido en Malta?
Did Arnold Schwarzenegger attend a university?,¿Fue Arnold Schwarzenegger a la universidad?
Which programming languages were influenced by Perl?,¿Qué lenguajes de programación fueron influenciados por el Perl?
Is Barack Obama a democrat?,¿Es Barack Obama demócrata?
How many children does Eddie Murphy have?,¿Cuántos hijos tiene Eddie Murphy?
Who is the oldest child of Meryl Streep?,¿Cuál es el hijo mas mayor de Meryl Streep?
Who killed John Lennon?,¿Quién asesino a John Lennon?
Which frequent flyer program has the most airlines?,¿Qué programa de viajero frecuente tienen la mayoría de las aerolineas? 
In which city is Air China headquartered?,¿En que ciudad esta la sede de Air China?
Which artists were born on the same date as Rachel Stevens?,¿Qué artistas nacieron en la misma fecha que Rachel Stevens?
How many scientists graduated from an Ivy League university?,¿Cuántos científicos se han graduado en un Universidad de la Ivy League?
Which types of grapes grow in Oregon?,¿Que tipo de uva crece en Oregon?
