input_lang,output_lang
what movies does entity play in?,¿en qué películas participa entidad?
what kind of music did entity play?,¿qué tipo de música tocaba entidad?
where do the entity play?,¿dónde juegan los red sox?
how many movies did entity direct?,¿cuántas películas dirigió park chan-wook?
which movies star both entity and entity?,¿qué películas protagonizan juntos liz taylor y entidad?
which writers studied in entity?,¿que escritores estudiaron en entidad?
where is the birthplace of entity?,dónde es el lugar de nacimiento de ¿goethe?
how large is the area of entity?,cómo grande es el zona de ¿entidad?
what is the birth name of entity?,qué es el nacimiento nombre de entidad?
what is the population of entity?,qué es el población de ¿entidad? 
when was the death  of  entity?,cuando estaba el muerte de shakespeare? 
what is entity's main business?,qué es entidad principal ¿negocio? 
when will start the final match of the entity world cup 2018?,cuando será comienzo el final partido de el entidad mundo vaso 2018? 
how much is the population  entity?,cómo mucho es el población ¿entidad? 
which instruments did entity play?,¿qué instrumentos tocaba entidad?
was entity a jew?,¿fué dutch schultz judío?
how often did entity marry?,¿cuántas veces ha estado casada entidad?
how many official languages are spoken on the entity?,¿cuántos idiomas oficiales se hablan en las entidad?
what does entity stand for?,¿qué abrevia cpu?
who was on the entity mission?,¿quién estuvo en la misión apollo 11?
what is the atmosphere of the entity composed of?,¿de que se compone la atmósfera de la entidad?
what is the name of the school where entity's wife studied?,¿cuál es el nombre de la escuela donde la esposa de obama estudió?
when did the entity take place?,¿cuándo tiene lugar el boston tea party?
who wrote entity?,¿quién escribió entidad?
who is the most powerful entity?,¿quién es el más poderoso entidad?
how many goals did entity score?,¿cuántos goles ha marcado entidad?
how many grand-children did entity have?,¿cuántos nietos tuvo jacques cousteau?
what is the longest river in entity?,¿cuál es el río más largo de china?
how many calories does a entity have?,¿cuántas calorías tiene una entidad?
how many emperors did entity have?,¿cuántos emperadores tuvo china?
what are the entity signs?,¿cuáles son los signos del entidado?
who became president after entity died?,quien se convirtió en presidente después de la muerte de jfk?
who killed entity?,¿quién mató a césar?
what is the nick name of entity?,qué es el mella nombre de ¿entidad? 
what is the revenue of entity?,qué es el ingresos de entidad?
which books were written by entity?,cual libros fueron escrito por danielle ¿acero?
are there any castles in the entity?,¿hay castillos en los entidad?
who is the governor of entity?,quien es el gobernador de ¿entidad?
what was the name of the famous entity in 1836 in entity?,¿cuál fue el nombre de la famosa entidad en 1836 en san antonio?
when was the entity company founded?,¿cuándo se fundó la empresa entidad?
how many rivers and lakes are in entity?,¿cuántos ríos y lagos hay en entidad?
what is the largest state in the entity?,¿cuál es el estado más grande de los entidad?
